"token","group","target","reference","n_target","n_reference","total_target","total_reference","keyness","direction"
"ainda","grupo","situacao","oposicao",2,0,81,66,1.65210727969349,"situacao"
"bairro","grupo","situacao","oposicao",2,0,81,66,1.65210727969349,"situacao"
"espaco","grupo","situacao","oposicao",2,0,81,66,1.65210727969349,"situacao"
"investimento","grupo","situacao","oposicao",2,0,81,66,1.65210727969349,"situacao"
"acessibilidade","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"algo","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"anos","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"antes","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"aprovar","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"area","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"atrasar","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"audiencias","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"aumenta","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"central","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"comecou","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"completa","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"convido","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"convivencia","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"criticar","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"custo","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"custos","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"disponiveis","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"edital","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"emprego","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"estao","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"estarao","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"estruturante","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"familias","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"garantidos","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"gasto","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"gerar","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"gestao","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"imoveis","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"justifica","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"lazer","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"manter","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"melhora","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"municipio","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"nenhum","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"nunca","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"oposicao","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"orcamento","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"parque","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"pediu","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"planilha","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"precisamos","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"prefeitura","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"prioridade","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"publicas","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"publico","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"qualidade","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"regiao","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"retorno","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"semestre","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"site","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"social","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"supersuo","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"tera","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"terreno","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"todas","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"transparencia","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"ultimos","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"vai","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"valoriza","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"vamos","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"verde","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"vida","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"visitar","grupo","situacao","oposicao",1,0,81,66,0.820395738203957,"situacao"
"obra","grupo","situacao","oposicao",2,1,81,66,0.165556023194912,"situacao"
"projeto","grupo","situacao","oposicao",2,1,81,66,0.165556023194912,"situacao"
