"grupo","token","n"
"oposicao","nao",3
"oposicao","praca",3
"oposicao","dinheiro",2
"oposicao","processo",2
"oposicao","saude",2
"oposicao","sobra",2
"oposicao","acredita",1
"oposicao","ambiental",1
"oposicao","ano",1
"oposicao","aparece",1
"oposicao","ate",1
"oposicao","banco",1
"oposicao","coincidencia",1
"oposicao","competitiva",1
"oposicao","concluido",1
"oposicao","consultamos",1
"oposicao","custa",1
"oposicao","documentos",1
"oposicao","educacao",1
"oposicao","eleitoral",1
"oposicao","entregues",1
"oposicao","escolar",1
"oposicao","essenciais",1
"oposicao","estudo",1
"oposicao","faltam",1
"oposicao","governo",1
"oposicao","impacto",1
"oposicao","investigacao",1
"oposicao","liberacao",1
"oposicao","licitacao",1
"oposicao","merenda",1
"oposicao","municipios",1
"oposicao","ninguem",1
"oposicao","obra",1
"oposicao","obras",1
"oposicao","paisagismo",1
"oposicao","pede",1
"oposicao","pedimos",1
"oposicao","populacao",1
"oposicao","posto",1
"oposicao","precisa",1
"oposicao","prioriza",1
"oposicao","projeto",1
"oposicao","querem",1
"oposicao","reajustar",1
"oposicao","recursos",1
"oposicao","reforma",1
"oposicao","semelhantes",1
"oposicao","ser",1
"oposicao","suspenso",1
"oposicao","terminar",1
"oposicao","tipo",1
"oposicao","verba",1
"oposicao","vereadores",1
"oposicao","vezes",1
"oposicao","vista",1
"oposicao","vizinhos",1
"oposicao","votar",1
"situacao","ainda",2
"situacao","bairro",2
"situacao","espaco",2
"situacao","investimento",2
"situacao","obra",2
"situacao","projeto",2
"situacao","acessibilidade",1
"situacao","algo",1
"situacao","anos",1
"situacao","antes",1
"situacao","aprovar",1
"situacao","area",1
"situacao","atrasar",1
"situacao","audiencias",1
"situacao","aumenta",1
"situacao","central",1
"situacao","comecou",1
"situacao","completa",1
"situacao","convido",1
"situacao","convivencia",1
"situacao","criticar",1
"situacao","custo",1
"situacao","custos",1
"situacao","disponiveis",1
"situacao","edital",1
"situacao","emprego",1
"situacao","estao",1
"situacao","estarao",1
"situacao","estruturante",1
"situacao","familias",1
"situacao","garantidos",1
"situacao","gasto",1
"situacao","gerar",1
"situacao","gestao",1
"situacao","imoveis",1
"situacao","justifica",1
"situacao","lazer",1
"situacao","manter",1
"situacao","melhora",1
"situacao","municipio",1
"situacao","nao",1
"situacao","nenhum",1
"situacao","nunca",1
"situacao","oposicao",1
"situacao","orcamento",1
"situacao","parque",1
"situacao","pediu",1
"situacao","planilha",1
"situacao","populacao",1
"situacao","praca",1
"situacao","precisamos",1
"situacao","prefeitura",1
"situacao","prioridade",1
"situacao","publicas",1
"situacao","publico",1
"situacao","qualidade",1
"situacao","recursos",1
"situacao","reforma",1
"situacao","regiao",1
"situacao","retorno",1
"situacao","semestre",1
"situacao","site",1
"situacao","social",1
"situacao","supersuo",1
"situacao","tera",1
"situacao","terreno",1
"situacao","todas",1
"situacao","transparencia",1
"situacao","ultimos",1
"situacao","vai",1
"situacao","valoriza",1
"situacao","vamos",1
"situacao","verde",1
"situacao","vida",1
"situacao","visitar",1
